Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
0.66,-0.0,-0.04,0.03,-9.02,0.04,-3.86
0.77,0.03,0.01,0.05,-9.02,0.03,-3.86
0.89,0.01,0.03,0.02,-9.02,0.04,-3.87
1.0,0.01,-0.02,0.05,-9.02,0.01,-3.85
1.11,0.01,0.03,-0.01,-9.01,0.04,-3.85
1.23,-0.0,-0.05,0.0,-9.02,0.04,-3.83
1.34,0.01,-0.02,0.09,-9.02,0.04,-3.86
1.46,-0.0,-0.07,-0.06,-9.02,0.03,-3.85
1.57,0.01,-0.04,0.0,-9.0,0.05,-3.85
1.68,0.01,0.09,-0.1,-9.02,0.02,-3.85
1.8,0.03,-0.1,0.06,-9.02,0.03,-3.86
1.91,0.01,-0.04,0.14,-9.02,0.02,-3.82
2.03,-0.0,0.16,-0.07,-9.01,0.04,-3.85
2.14,-0.02,-0.02,-0.06,-9.02,0.02,-3.87
2.25,0.01,-0.02,0.08,-9.01,0.02,-3.85
2.37,0.04,-0.02,0.05,-9.02,0.03,-3.85
2.48,-0.02,-0.02,-0.03,-9.03,0.02,-3.85
2.6,-0.0,0.03,0.05,-9.02,0.01,-3.86
2.71,-0.03,-0.0,-0.06,-9.01,0.03,-3.85
2.82,-0.0,-0.0,-0.01,-9.01,0.02,-3.83
2.94,-0.06,0.03,-0.1,-9.01,0.03,-3.88
3.05,0.03,-0.02,0.09,-9.03,0.03,-3.87
3.17,0.01,0.07,-0.06,-9.02,0.04,-3.84
3.28,-0.03,-0.02,-0.03,-9.02,0.03,-3.85
3.39,-0.03,-0.11,0.08,-9.02,0.03,-3.87
3.51,-0.06,-0.02,-0.1,-9.02,0.03,-3.85
3.62,-0.02,-0.02,-0.06,-9.01,0.03,-3.86
3.74,0.04,-0.05,0.16,-9.02,0.03,-3.85
3.85,-0.06,-0.0,-0.17,-9.02,0.04,-3.84
3.96,0.06,-0.02,0.06,-9.02,0.03,-3.87
4.08,-0.05,-0.05,-0.03,-9.02,0.03,-3.85
4.19,-0.05,0.07,-0.12,-9.03,0.04,-3.85
4.3,0.01,-0.02,0.11,-9.02,0.04,-3.87
4.42,0.09,-0.02,0.19,-9.02,0.03,-3.84
4.53,0.01,-0.0,0.08,-9.03,0.03,-3.87
