Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Nm]
1352.85,1.23,-0.61,0.35,0.85,-9.25,-2.13,-0.02
1352.99,1.21,-0.58,0.24,0.86,-9.28,-2.12,-0.02
1353.12,1.18,-0.6,0.3,0.86,-9.31,-2.12,-0.02
1353.26,1.15,-0.66,0.46,0.86,-9.34,-2.14,-0.02
1353.4,1.16,-0.65,0.49,0.85,-9.33,-2.15,-0.02
1353.54,1.15,-0.65,0.52,0.84,-9.31,-2.17,-0.02
1353.67,1.17,-0.6,0.41,0.84,-9.29,-2.18,-0.02
1353.81,1.21,-0.56,0.33,0.85,-9.28,-2.18,-0.02
1353.95,1.21,-0.58,0.43,0.85,-9.27,-2.16,-0.02
1354.09,1.18,-0.58,0.44,0.84,-9.26,-2.15,-0.02
1354.22,1.14,-0.58,0.42,0.85,-9.27,-2.14,-0.02
1354.36,1.13,-0.6,0.45,0.87,-9.28,-2.16,-0.02
1354.5,1.14,-0.59,0.48,0.89,-9.3,-2.19,-0.02
1354.64,1.16,-0.59,0.5,0.89,-9.31,-2.22,-0.02
1354.77,1.19,-0.61,0.48,0.88,-9.31,-2.23,-0.02
1354.91,1.21,-0.62,0.5,0.84,-9.31,-2.22,-0.02
1355.05,1.21,-0.6,0.55,0.81,-9.31,-2.2,-0.02
1355.18,1.21,-0.58,0.52,0.81,-9.31,-2.18,-0.02
1355.32,1.23,-0.62,0.48,0.82,-9.31,-2.16,-0.02
1355.46,1.24,-0.69,0.51,0.83,-9.32,-2.14,-0.02
1355.6,1.25,-0.72,0.54,0.83,-9.33,-2.14,-0.02
1355.73,1.24,-0.72,0.56,0.83,-9.32,-2.17,-0.02
1355.87,1.22,-0.71,0.54,0.83,-9.31,-2.19,-0.02
1356.01,1.17,-0.7,0.47,0.83,-9.29,-2.18,-0.02
1356.15,1.15,-0.72,0.48,0.84,-9.27,-2.16,-0.02
1356.28,1.18,-0.68,0.5,0.84,-9.25,-2.15,-0.02
1356.42,1.22,-0.6,0.5,0.84,-9.24,-2.16,-0.02
1356.56,1.24,-0.59,0.51,0.86,-9.25,-2.16,-0.02
1356.7,1.23,-0.64,0.53,0.87,-9.27,-2.16,-0.02
1356.83,1.21,-0.69,0.54,0.88,-9.28,-2.16,-0.02
1356.97,1.21,-0.7,0.52,0.88,-9.31,-2.17,-0.02
1357.11,1.2,-0.66,0.48,0.87,-9.33,-2.18,-0.02
1357.25,1.18,-0.59,0.45,0.86,-9.33,-2.19,-0.02
1357.38,1.18,-0.59,0.45,0.84,-9.3,-2.18,-0.02
1357.52,1.21,-0.63,0.49,0.83,-9.26,-2.15,-0.02
1357.66,1.21,-0.63,0.49,0.83,-9.24,-2.13,-0.02
1357.8,1.18,-0.63,0.43,0.84,-9.25,-2.15,-0.02
1357.93,1.19,-0.65,0.4,0.85,-9.28,-2.17,-0.02
1358.07,1.22,-0.71,0.43,0.84,-9.31,-2.19,-0.02
1358.21,1.23,-0.75,0.49,0.83,-9.33,-2.21,-0.02
1358.34,1.22,-0.7,0.53,0.84,-9.34,-2.22,-0.02
1358.48,1.25,-0.57,0.42,0.85,-9.32,-2.22,-0.02
1358.62,1.29,-0.52,0.34,0.85,-9.3,-2.21,-0.02
1358.76,1.28,-0.57,0.41,0.85,-9.29,-2.19,-0.02
1358.9,1.25,-0.6,0.45,0.85,-9.29,-2.17,-0.02
1359.03,1.24,-0.6,0.46,0.86,-9.3,-2.16,-0.02
1359.17,1.2,-0.59,0.5,0.86,-9.31,-2.17,-0.02
1359.31,1.17,-0.56,0.5,0.86,-9.31,-2.18,-0.02
1359.44,1.18,-0.58,0.46,0.86,-9.3,-2.19,-0.02
1359.58,1.23,-0.65,0.42,0.86,-9.31,-2.19,-0.02
1359.72,1.27,-0.68,0.44,0.87,-9.32,-2.19,-0.02
1359.86,1.28,-0.62,0.48,0.86,-9.31,-2.19,-0.02
