Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
0.66,-0.0,0.17,-0.02,-8.05,-0.26,-6.07
0.68,0.04,0.02,-0.01,-8.04,-0.27,-6.07
0.71,-0.0,-0.1,0.04,-8.04,-0.26,-6.06
0.73,-0.0,-0.02,-0.01,-8.03,-0.27,-6.05
0.75,-0.0,0.11,0.01,-8.04,-0.26,-6.07
0.78,-0.0,-0.02,0.01,-8.03,-0.24,-6.06
0.8,-0.0,-0.02,-0.01,-8.02,-0.26,-6.06
0.83,0.03,0.05,-0.01,-8.04,-0.26,-6.06
0.85,0.03,0.05,-0.01,-8.04,-0.27,-6.07
0.88,-0.0,-0.05,0.01,-8.05,-0.27,-6.07
0.9,-0.02,0.01,-0.02,-8.04,-0.26,-6.06
0.92,-0.02,0.08,-0.02,-8.04,-0.25,-6.06
0.95,-0.02,0.02,-0.01,-8.03,-0.27,-6.07
0.97,-0.0,-0.05,-0.02,-8.03,-0.26,-6.04
1.0,-0.02,0.04,0.01,-8.03,-0.26,-6.06
1.02,0.03,0.13,-0.01,-8.03,-0.26,-6.06
1.04,-0.0,-0.12,0.02,-8.04,-0.27,-6.07
1.07,0.01,0.01,0.01,-8.03,-0.26,-6.06
1.09,0.03,0.14,-0.02,-8.04,-0.26,-6.07
1.12,-0.0,-0.02,0.02,-8.03,-0.26,-6.07
1.14,-0.03,-0.05,-0.01,-8.03,-0.25,-6.07
1.17,0.01,0.11,-0.01,-8.04,-0.26,-6.07
1.19,0.01,0.05,0.02,-8.03,-0.25,-6.07
1.21,-0.0,-0.12,0.01,-8.03,-0.25,-6.06
1.24,0.01,0.08,0.02,-8.02,-0.26,-6.07
1.26,0.03,0.07,0.06,-8.04,-0.25,-6.06
1.29,-0.0,-0.13,0.02,-8.04,-0.26,-6.07
1.31,-0.02,0.02,-0.01,-8.04,-0.25,-6.06
1.33,-0.0,0.1,0.01,-8.03,-0.26,-6.06
1.36,-0.03,-0.07,-0.01,-8.04,-0.25,-6.07
1.38,-0.0,-0.15,-0.02,-8.03,-0.26,-6.04
1.41,-0.0,0.14,-0.04,-8.04,-0.26,-6.08
1.43,0.01,0.01,-0.01,-8.05,-0.26,-6.08
1.46,-0.0,-0.08,-0.01,-8.04,-0.26,-6.09
1.48,-0.0,-0.02,-0.01,-8.04,-0.26,-6.08
1.5,-0.0,0.11,-0.02,-8.04,-0.27,-6.07
1.53,-0.02,-0.04,0.04,-8.03,-0.25,-6.09
1.55,0.01,-0.1,0.04,-8.04,-0.25,-6.08
1.58,0.01,0.02,-0.01,-8.04,-0.26,-6.09
1.6,0.01,0.11,0.02,-8.05,-0.27,-6.06
1.62,0.03,-0.08,-0.02,-8.04,-0.26,-6.06
1.65,-0.0,-0.04,-0.05,-8.04,-0.26,-6.08
1.67,-0.0,0.04,-0.01,-8.03,-0.26,-6.06
1.7,-0.03,-0.04,0.02,-8.04,-0.26,-6.07
1.72,-0.0,0.05,-0.01,-8.03,-0.27,-6.06
1.75,-0.0,0.08,0.02,-8.04,-0.26,-6.08
1.77,-0.03,-0.05,-0.01,-8.05,-0.25,-6.07
1.79,-0.02,-0.1,0.01,-8.05,-0.25,-6.08
1.82,0.01,0.05,-0.01,-8.05,-0.25,-6.07
1.84,0.04,0.13,-0.01,-8.04,-0.26,-6.07
1.86,0.01,-0.08,0.06,-8.03,-0.26,-6.07
1.89,0.01,-0.27,0.02,-8.04,-0.26,-6.07
1.91,0.01,0.22,-0.02,-8.04,-0.25,-6.09
1.94,0.01,0.13,-0.02,-8.03,-0.26,-6.07
1.96,-0.02,-0.24,-0.01,-8.04,-0.26,-6.04
1.99,0.01,-0.04,-0.01,-8.04,-0.26,-6.06
2.01,-0.03,0.16,-0.01,-8.03,-0.27,-6.06
2.03,-0.02,0.01,0.02,-8.02,-0.26,-6.06
2.06,-0.0,-0.15,0.02,-8.03,-0.26,-6.05
2.08,0.01,0.01,0.04,-8.04,-0.26,-6.07
2.11,-0.0,0.13,0.02,-8.04,-0.25,-6.06
2.13,-0.02,-0.01,0.02,-8.03,-0.25,-6.07
2.16,-0.02,-0.05,0.02,-8.04,-0.26,-6.06
2.18,-0.0,-0.01,-0.02,-8.04,-0.27,-6.05
2.2,-0.0,0.11,-0.01,-8.02,-0.26,-6.06
2.23,-0.0,0.02,0.01,-8.03,-0.26,-6.08
2.25,0.01,-0.1,-0.02,-8.03,-0.27,-6.07
2.28,-0.0,0.02,-0.02,-8.02,-0.26,-6.07
2.3,-0.02,0.04,-0.05,-8.03,-0.23,-6.07
2.32,0.01,0.02,-0.02,-8.03,-0.25,-6.08
2.35,0.01,-0.01,-0.02,-8.04,-0.26,-6.06
2.37,-0.0,0.07,-0.02,-8.03,-0.25,-6.06
2.4,-0.02,0.04,-0.02,-8.04,-0.26,-6.07
2.42,0.01,-0.08,0.02,-8.03,-0.27,-6.09
2.45,0.03,0.08,-0.01,-8.03,-0.27,-6.05
2.47,0.03,0.02,0.01,-8.04,-0.27,-6.08
2.49,-0.0,-0.04,0.01,-8.03,-0.25,-6.08
2.52,-0.03,-0.1,-0.04,-8.05,-0.26,-6.07
2.54,0.03,0.11,-0.02,-8.04,-0.25,-6.04
2.57,0.04,0.13,-0.02,-8.02,-0.27,-6.06
2.59,-0.0,-0.13,-0.01,-8.04,-0.27,-6.08
2.61,-0.02,-0.04,0.01,-8.04,-0.28,-6.05
2.64,-0.0,0.16,0.01,-8.04,-0.25,-6.08
2.66,-0.02,-0.07,-0.01,-8.04,-0.25,-6.08
2.69,0.01,-0.05,-0.01,-8.04,-0.27,-6.06
2.71,-0.02,0.08,-0.04,-8.04,-0.27,-6.07
2.74,-0.0,0.07,-0.04,-8.04,-0.27,-6.07
2.76,0.03,-0.12,-0.01,-8.04,-0.26,-6.08
2.78,0.01,-0.02,0.01,-8.03,-0.27,-6.06
2.81,0.03,0.11,-0.01,-8.04,-0.27,-6.03
2.83,-0.02,-0.02,0.01,-8.03,-0.27,-6.08
2.85,-0.0,-0.18,-0.01,-8.03,-0.25,-6.08
2.88,0.01,0.13,-0.01,-8.03,-0.25,-6.08
2.9,-0.0,0.04,-0.01,-8.03,-0.25,-6.06
2.93,0.01,-0.08,-0.02,-8.04,-0.27,-6.07
2.95,-0.02,0.01,0.01,-8.03,-0.25,-6.06
2.98,-0.0,-0.04,0.02,-8.04,-0.26,-6.08
3.0,0.01,-0.05,0.02,-8.04,-0.26,-6.07
3.02,0.01,0.02,-0.01,-8.05,-0.26,-6.07
3.05,-0.0,0.02,-0.02,-8.04,-0.26,-6.07
3.07,-0.0,-0.04,-0.01,-8.03,-0.26,-6.09
3.1,-0.0,-0.07,0.02,-8.04,-0.26,-6.07
3.12,-0.0,0.04,0.01,-8.03,-0.25,-6.07
3.14,-0.0,0.02,0.01,-8.04,-0.26,-6.07
3.17,-0.0,-0.1,-0.02,-8.04,-0.27,-6.09
3.19,0.01,0.07,-0.01,-8.04,-0.25,-6.07
3.22,-0.02,0.01,-0.01,-8.04,-0.26,-6.06
3.24,-0.0,-0.13,0.01,-8.04,-0.25,-6.08
3.27,-0.0,0.04,-0.01,-8.03,-0.26,-6.07
3.29,-0.03,-0.02,-0.01,-8.03,-0.25,-6.07
3.31,-0.0,-0.02,0.02,-8.04,-0.25,-6.07
3.34,-0.0,0.05,0.01,-8.03,-0.27,-6.07
3.36,0.01,-0.02,0.02,-8.03,-0.27,-6.07
3.39,-0.02,-0.02,0.01,-8.04,-0.25,-6.08
3.41,-0.0,0.17,0.04,-8.03,-0.25,-6.07
3.43,-0.0,-0.07,0.02,-8.04,-0.27,-6.09
3.46,0.01,-0.05,0.01,-8.04,-0.27,-6.05
3.48,0.03,0.1,-0.01,-8.04,-0.26,-6.05
3.51,0.01,-0.07,0.01,-8.04,-0.25,-6.06
3.53,0.03,-0.08,-0.01,-8.03,-0.26,-6.06
3.56,0.01,0.08,-0.01,-8.04,-0.27,-6.05
3.58,0.03,0.02,0.01,-8.05,-0.26,-6.08
3.6,-0.0,-0.08,-0.01,-8.03,-0.25,-6.08
3.63,0.01,0.05,-0.01,-8.04,-0.25,-6.09
3.65,0.03,0.01,0.01,-8.05,-0.25,-6.08
3.68,-0.02,-0.07,-0.01,-8.04,-0.25,-6.07
3.7,-0.0,-0.01,-0.02,-8.04,-0.24,-6.06
3.72,-0.0,0.1,-0.01,-8.04,-0.25,-6.05
3.75,0.01,-0.04,-0.01,-8.04,-0.25,-6.06
3.77,-0.0,0.01,-0.02,-8.04,-0.25,-6.09
3.8,0.01,-0.01,-0.04,-8.05,-0.25,-6.08
3.82,0.06,0.04,-0.01,-8.04,-0.26,-6.07
3.85,0.04,0.05,0.01,-8.02,-0.26,-6.08
3.87,0.03,-0.05,-0.02,-8.03,-0.25,-6.06
3.89,-0.02,-0.01,-0.02,-8.04,-0.27,-6.06
3.92,0.01,0.04,0.01,-8.04,-0.25,-6.06
3.94,-0.02,0.13,-0.04,-8.03,-0.26,-6.06
3.96,-0.02,-0.12,-0.02,-8.03,-0.27,-6.09
3.99,0.01,0.01,-0.04,-8.04,-0.28,-6.05
4.01,-0.02,0.05,0.01,-8.03,-0.26,-6.06
