Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
9.68,-0.08,0.02,-0.01,-8.27,0.15,-5.6
9.8,-0.08,0.03,-0.02,-8.27,0.14,-5.6
9.91,-0.08,0.03,-0.02,-8.27,0.14,-5.6
10.03,-0.07,0.03,-0.02,-8.28,0.14,-5.6
10.15,-0.07,0.04,-0.02,-8.28,0.15,-5.6
10.26,-0.06,0.04,-0.01,-8.28,0.15,-5.59
10.38,-0.06,0.04,-0.01,-8.27,0.15,-5.59
10.49,-0.07,0.03,-0.01,-8.27,0.16,-5.59
10.61,-0.07,0.02,-0.0,-8.27,0.16,-5.59
10.73,-0.06,0.02,-0.0,-8.27,0.16,-5.59
10.84,-0.06,0.01,-0.01,-8.28,0.15,-5.59
10.96,-0.06,0.0,-0.01,-8.28,0.15,-5.59
11.07,-0.06,0.01,-0.01,-8.28,0.15,-5.58
11.19,-0.06,0.01,-0.01,-8.27,0.15,-5.58
11.3,-0.06,0.02,-0.02,-8.27,0.15,-5.58
11.42,-0.07,0.02,-0.02,-8.27,0.14,-5.58
11.53,-0.08,0.02,-0.01,-8.27,0.14,-5.58
11.65,-0.08,0.02,-0.01,-8.27,0.14,-5.59
11.77,-0.08,0.02,-0.01,-8.27,0.15,-5.59
11.88,-0.07,0.02,-0.01,-8.27,0.15,-5.59
12.0,-0.08,0.03,-0.02,-8.28,0.15,-5.6
12.11,-0.09,0.03,-0.03,-8.28,0.16,-5.6
12.23,-0.09,0.03,-0.04,-8.28,0.16,-5.6
12.35,-0.09,0.04,-0.04,-8.28,0.15,-5.6
12.46,-0.09,0.03,-0.03,-8.28,0.15,-5.6
12.58,-0.08,0.04,-0.01,-8.28,0.15,-5.6
12.69,-0.09,0.05,-0.02,-8.28,0.15,-5.59
12.81,-0.1,0.06,-0.06,-8.28,0.14,-5.59
12.93,-0.09,0.06,-0.08,-8.28,0.15,-5.59
13.04,-0.09,0.04,-0.06,-8.28,0.15,-5.58
13.16,-0.08,0.02,-0.03,-8.28,0.15,-5.58
13.27,-0.07,0.0,-0.0,-8.28,0.15,-5.59
13.39,-0.06,0.01,0.01,-8.27,0.15,-5.59
13.5,-0.06,0.02,0.01,-8.27,0.15,-5.59
13.62,-0.06,0.03,-0.01,-8.27,0.15,-5.6
13.73,-0.07,0.03,-0.02,-8.27,0.15,-5.6
13.85,-0.07,0.02,-0.03,-8.27,0.15,-5.6
13.97,-0.08,0.02,-0.04,-8.28,0.15,-5.6
14.08,-0.08,0.02,-0.03,-8.28,0.15,-5.6
14.2,-0.09,0.01,-0.03,-8.28,0.15,-5.59
14.31,-0.08,-0.01,-0.0,-8.28,0.15,-5.59
14.43,-0.07,-0.03,0.04,-8.28,0.15,-5.59
14.55,0.28,-0.2,-0.72,-8.28,0.15,-5.6
14.66,-3.88,9.99,-8.43,-8.38,0.26,-5.54
14.78,-11.69,23.52,-32.13,-8.75,0.26,-5.53
14.9,-14.15,21.25,-65.72,-8.87,-0.47,-5.81
15.01,-16.97,13.16,-83.91,-8.13,-1.8,-6.1
15.13,-27.83,4.66,-70.07,-7.32,-2.91,-6.19
15.24,-35.97,-2.78,-33.78,-6.99,-3.21,-6.21
15.36,-9.82,-15.71,23.73,-7.25,-3.17,-6.21
15.48,48.82,-36.38,88.67,-8.49,-2.61,-5.79
15.59,79.37,-40.78,108.71,-9.7,-0.84,-4.94
15.71,61.23,-28.79,78.73,-9.8,0.69,-4.63
15.82,30.67,-15.9,40.1,-9.26,0.98,-4.99
15.94,9.26,-6.27,12.74,-8.7,0.69,-5.41
16.06,-1.8,-0.81,-1.63,-8.3,0.28,-5.71
16.17,-5.42,1.23,-6.9,-8.1,-0.03,-5.87
16.29,-5.16,1.34,-7.76,-8.05,-0.22,-5.9
16.4,-3.65,1.02,-6.83,-8.08,-0.3,-5.88
16.52,-2.07,0.65,-4.86,-8.12,-0.3,-5.84
16.64,-0.85,0.18,-2.57,-8.14,-0.27,-5.82
16.75,-0.13,-0.15,-0.79,-8.16,-0.24,-5.81
16.87,0.16,-0.29,0.18,-8.16,-0.22,-5.8
16.99,0.2,-0.32,0.53,-8.17,-0.21,-5.8
17.1,0.13,-0.28,0.54,-8.17,-0.2,-5.8
17.22,0.04,-0.23,0.4,-8.18,-0.2,-5.79
17.33,-0.03,-0.19,0.23,-8.18,-0.19,-5.79
17.45,-0.07,-0.14,0.11,-8.18,-0.2,-5.79
17.56,-0.1,-0.09,0.04,-8.18,-0.2,-5.79
17.68,-0.1,-0.06,-0.01,-8.17,-0.19,-5.79
17.8,-0.1,-0.09,-0.01,-8.18,-0.2,-5.78
17.91,-0.09,-0.11,0.0,-8.18,-0.2,-5.78
18.03,-0.07,-0.1,0.04,-8.18,-0.2,-5.78
18.14,-0.07,-0.07,0.07,-8.18,-0.2,-5.78
18.26,-0.08,-0.04,0.02,-8.18,-0.19,-5.78
18.38,-0.09,-0.04,-0.02,-8.18,-0.19,-5.79
18.49,-0.08,-0.04,-0.02,-8.18,-0.19,-5.79
18.61,-0.07,-0.05,-0.0,-8.18,-0.19,-5.78
18.72,-0.07,-0.05,0.02,-8.19,-0.19,-5.78
18.84,-0.06,-0.06,0.03,-8.19,-0.19,-5.77
18.96,-0.06,-0.06,0.03,-8.19,-0.19,-5.76
19.07,-0.07,-0.04,0.03,-8.19,-0.19,-5.76
19.19,-0.07,-0.05,0.04,-8.19,-0.19,-5.76
19.3,-0.07,-0.05,0.04,-8.19,-0.19,-5.76
19.42,-0.07,-0.01,-0.0,-8.19,-0.19,-5.76
19.54,-0.07,0.0,-0.03,-8.19,-0.19,-5.77
19.65,-0.07,-0.01,-0.03,-8.19,-0.19,-5.76
19.77,-0.07,-0.01,-0.01,-8.19,-0.19,-5.76
19.89,-0.07,0.0,-0.01,-8.19,-0.19,-5.76
20.0,-0.07,0.01,-0.02,-8.19,-0.19,-5.77
20.12,-0.07,0.0,-0.01,-8.19,-0.19,-5.77
20.23,-0.08,-0.01,0.01,-8.2,-0.19,-5.76
20.35,-0.08,-0.01,0.0,-8.2,-0.2,-5.76
20.46,-0.08,-0.01,-0.01,-8.19,-0.19,-5.76
20.58,-0.08,-0.0,-0.02,-8.19,-0.19,-5.76
